id,name,chain,volume,market_cap,floor_price,avg_price,sales,assets,owners
1305,Zombie Social Club,Ethereum,9.7319 ETH,13.97 ETH,0.03 ETH,0.06007 ETH,,550,206
1306,Cryptoverse - SMALL ESTATE,BSC,"31,200",--,--,"5,200",,80,2
1307,SolSlugs,Solana,281.14 SOL,21.78 SOL,0.19 SOL,0.2164 SOL,,121,82
1308,XDOGE Moon Treasure,BSC,"30,863.85 BUSD","98,863.25 BUSD",12 BUSD,38.34 BUSD,,"5,040",975
1309,Investor Whale,Solana,278.1 SOL,398 SOL,3.5 SOL,4.0304 SOL,,20,5
1310,Super Monkey Returns,BSC,"30,709.66 BUSD","780,609.78 BUSD",7.48 BUSD,25.36 BUSD,,"50,000","3,271"
1301,SSJs,Solana,286.7 SOL,0 SOL,4.77 SOL,6.8262 SOL,,4,2
1302,Mario Chalmers Iconic Moments,BSC,"31,512.42 BUSD","13,248.05 BUSD",50 BUSD,393.91 BUSD,,"1,850",45
1303,Ghostface,Solana,283.54 SOL,0 SOL,--,1.1163 SOL,,0,0
1304,Spray Cans,Ethereum,9.7665 ETH,27.61 ETH,0.024 ETH,0.1191 ETH,,700,355
1305,Zombie Social Club,Ethereum,9.7319 ETH,13.97 ETH,0.03 ETH,0.06007 ETH,,550,206
1306,Cryptoverse - SMALL ESTATE,BSC,"31,200",--,--,"5,200",,80,2
1307,SolSlugs,Solana,281.14 SOL,21.78 SOL,0.19 SOL,0.2164 SOL,,121,82
1308,XDOGE Moon Treasure,BSC,"30,863.85 BUSD","98,863.25 BUSD",12 BUSD,38.34 BUSD,,"5,040",975
1309,Investor Whale,Solana,278.1 SOL,398 SOL,3.5 SOL,4.0304 SOL,,20,5
1310,Super Monkey Returns,BSC,"30,709.66 BUSD","780,609.78 BUSD",7.48 BUSD,25.36 BUSD,,"50,000","3,271"
1301,SSJs,Solana,286.7 SOL,0 SOL,4.77 SOL,6.8262 SOL,,4,2
1302,Mario Chalmers Iconic Moments,BSC,"31,512.42 BUSD","13,248.05 BUSD",50 BUSD,393.91 BUSD,,"1,850",45
1303,Ghostface,Solana,283.54 SOL,0 SOL,--,1.1163 SOL,,0,0
1304,Spray Cans,Ethereum,9.7665 ETH,27.61 ETH,0.024 ETH,0.1191 ETH,,700,355
1305,Zombie Social Club,Ethereum,9.7319 ETH,13.97 ETH,0.03 ETH,0.06007 ETH,,550,206
1306,Cryptoverse - SMALL ESTATE,BSC,"31,200",--,--,"5,200",,80,2
1307,SolSlugs,Solana,281.14 SOL,21.78 SOL,0.19 SOL,0.2164 SOL,,121,82
1308,XDOGE Moon Treasure,BSC,"30,863.85 BUSD","98,863.25 BUSD",12 BUSD,38.34 BUSD,,"5,040",975
1309,Investor Whale,Solana,278.1 SOL,398 SOL,3.5 SOL,4.0304 SOL,,20,5
1310,Super Monkey Returns,BSC,"30,709.66 BUSD","780,609.78 BUSD",7.48 BUSD,25.36 BUSD,,"50,000","3,271"
1301,SSJs,Solana,286.7 SOL,0 SOL,4.77 SOL,6.8262 SOL,,4,2
1302,Mario Chalmers Iconic Moments,BSC,"31,512.42 BUSD","13,248.05 BUSD",50 BUSD,393.91 BUSD,,"1,850",45
1303,Ghostface,Solana,283.54 SOL,0 SOL,--,1.1163 SOL,,0,0
1304,Spray Cans,Ethereum,9.7665 ETH,27.61 ETH,0.024 ETH,0.1191 ETH,,700,355
1305,Zombie Social Club,Ethereum,9.7319 ETH,13.97 ETH,0.03 ETH,0.06007 ETH,,550,206
1306,Cryptoverse - SMALL ESTATE,BSC,"31,200",--,--,"5,200",,80,2
1307,SolSlugs,Solana,281.14 SOL,21.78 SOL,0.19 SOL,0.2164 SOL,,121,82
1308,XDOGE Moon Treasure,BSC,"30,863.85 BUSD","98,863.25 BUSD",12 BUSD,38.34 BUSD,,"5,040",975
1309,Investor Whale,Solana,278.1 SOL,398 SOL,3.5 SOL,4.0304 SOL,,20,5
1310,Super Monkey Returns,BSC,"30,709.66 BUSD","780,609.78 BUSD",7.48 BUSD,25.36 BUSD,,"50,000","3,271"
1301,SSJs,Solana,286.7 SOL,0 SOL,4.77 SOL,6.8262 SOL,,4,2
1302,Mario Chalmers Iconic Moments,BSC,"31,512.42 BUSD","13,248.05 BUSD",50 BUSD,393.91 BUSD,,"1,850",45
1303,Ghostface,Solana,283.54 SOL,0 SOL,--,1.1163 SOL,,0,0
1304,Spray Cans,Ethereum,9.7665 ETH,27.61 ETH,0.024 ETH,0.1191 ETH,,700,355
1305,Zombie Social Club,Ethereum,9.7319 ETH,13.97 ETH,0.03 ETH,0.06007 ETH,,550,206
1306,Cryptoverse - SMALL ESTATE,BSC,"31,200",--,--,"5,200",,80,2
1307,SolSlugs,Solana,281.14 SOL,21.78 SOL,0.19 SOL,0.2164 SOL,,121,82
1308,XDOGE Moon Treasure,BSC,"30,863.85 BUSD","98,863.25 BUSD",12 BUSD,38.34 BUSD,,"5,040",975
1309,Investor Whale,Solana,278.1 SOL,398 SOL,3.5 SOL,4.0304 SOL,,20,5
1310,Super Monkey Returns,BSC,"30,709.66 BUSD","780,609.78 BUSD",7.48 BUSD,25.36 BUSD,,"50,000","3,271"
1401,HeadGame,Ethereum,144.87 ETH,0 ETH,0.001 ETH,0.06636 ETH,,"28,400",818
1402,Wicked Monsters,Ethereum,225.69 ETH,111.64 ETH,0.018 ETH,0.163 ETH,,"4,444","2,181"
1403,Punked Doods,Ethereum,168.17 ETH,22.5 ETH,0.001 ETH,0.0453 ETH,,"5,000","1,853"
1404,Astra Chipmunks Army ,Ethereum,34.58 ETH,0 ETH,0.003 ETH,0.05881 ETH,,"2,721",974
1405,The Awakening,Ethereum,2.6244 ETH,0 ETH,0.0012 ETH,0.009979 ETH,,"9,999","4,612"
1406,We Are The Walrus - WATW,Solana,534.58 SOL,0 SOL,1 SOL,2.1383 SOL,,52,39
1407,Barber Heart,Solana,162.44 SOL,0 SOL,8.35 SOL,8.122 SOL,,5,1
1408,UNQ Universe,Solana,88.97 SOL,0 SOL,0.25 SOL,0.7118 SOL,,110,54
1409,Lucky Kittens,Solana,30.1 SOL,0 SOL,--,1.505 SOL,,0,0
1410,DeFiHoodNFT,Solana,107.15 SOL,20.3 SOL,0.49 SOL,0.5304 SOL,,70,39
1401,Pixel Kitty Supercar Club,Ethereum,6.4088 ETH,0 ETH,0.005 ETH,0.02774 ETH,,"2,020",685
1402,VOGUE SG MYSTERY BOX,BSC,"20,363.87 BUSD","360,510.59 BUSD",2 BUSD,20 BUSD,,"40,000","7,487"
1403,Melos X David Bowie X Camels,BSC,"20,318.85 BUSD","518,093.66 BUSD",4.3 BUSD,24.99 BUSD,,"25,000","3,162"
1404,Relics Lab,Solana,183.24 SOL,0 SOL,1.1 SOL,2.545 SOL,,2,2
1405,Futures Grand Tournament,BSC,"20,225.67 BUSD","60,293.78 BUSD",31 BUSD,55.11 BUSD,,"2,424","1,320"
1406,METABOT Society,Ethereum,6.2776 ETH,10.66 ETH,0.02 ETH,0.08719 ETH,,333,182
1407,Metaversity,Ethereum,6.2739 ETH,320.13 ETH,0.01 ETH,0.06091 ETH,,"2,500",469
1408,Shibaku,Ethereum,6.2523 ETH,4.136 ETH,0.023 ETH,0.05298 ETH,,"1,034",403
1409,VOX Coodles,Ethereum,6.243 ETH,19.72 ETH,0.019 ETH,0.03878 ETH,,"1,382",870
1410,SolSnatchers,Solana,180.59 SOL,16.66 SOL,0.55 SOL,1.9212 SOL,,34,32
1401,Pixel Kitty Supercar Club,Ethereum,6.4088 ETH,0 ETH,0.005 ETH,0.02774 ETH,,"2,020",685
1402,VOGUE SG MYSTERY BOX,BSC,"20,363.87 BUSD","360,510.59 BUSD",2 BUSD,20 BUSD,,"40,000","7,487"
1403,Melos X David Bowie X Camels,BSC,"20,318.85 BUSD","518,093.66 BUSD",4.3 BUSD,24.99 BUSD,,"25,000","3,162"
1404,Relics Lab,Solana,183.24 SOL,0 SOL,1.1 SOL,2.545 SOL,,2,2
1405,Futures Grand Tournament,BSC,"20,225.67 BUSD","60,293.78 BUSD",31 BUSD,55.11 BUSD,,"2,424","1,320"
1406,METABOT Society,Ethereum,6.2776 ETH,10.66 ETH,0.02 ETH,0.08719 ETH,,333,182
1407,Metaversity,Ethereum,6.2739 ETH,320.13 ETH,0.01 ETH,0.06091 ETH,,"2,500",469
1408,Shibaku,Ethereum,6.2523 ETH,4.136 ETH,0.023 ETH,0.05298 ETH,,"1,034",403
1409,VOX Coodles,Ethereum,6.243 ETH,19.72 ETH,0.019 ETH,0.03878 ETH,,"1,382",870
1410,SolSnatchers,Solana,180.59 SOL,16.66 SOL,0.55 SOL,1.9212 SOL,,34,32
1401,Pixel Kitty Supercar Club,Ethereum,6.4088 ETH,0 ETH,0.005 ETH,0.02774 ETH,,"2,020",685
1402,VOGUE SG MYSTERY BOX,BSC,"20,363.87 BUSD","360,510.59 BUSD",2 BUSD,20 BUSD,,"40,000","7,487"
1403,Melos X David Bowie X Camels,BSC,"20,318.85 BUSD","518,093.66 BUSD",4.3 BUSD,24.99 BUSD,,"25,000","3,162"
1404,Relics Lab,Solana,183.24 SOL,0 SOL,1.1 SOL,2.545 SOL,,2,2
1405,Futures Grand Tournament,BSC,"20,225.67 BUSD","60,293.78 BUSD",31 BUSD,55.11 BUSD,,"2,424","1,320"
1406,METABOT Society,Ethereum,6.2776 ETH,10.66 ETH,0.02 ETH,0.08719 ETH,,333,182
1407,Metaversity,Ethereum,6.2739 ETH,320.13 ETH,0.01 ETH,0.06091 ETH,,"2,500",469
1408,Shibaku,Ethereum,6.2523 ETH,4.136 ETH,0.023 ETH,0.05298 ETH,,"1,034",403
1409,VOX Coodles,Ethereum,6.243 ETH,19.72 ETH,0.019 ETH,0.03878 ETH,,"1,382",870
1410,SolSnatchers,Solana,180.59 SOL,16.66 SOL,0.55 SOL,1.9212 SOL,,34,32
1401,Pixel Kitty Supercar Club,Ethereum,6.4088 ETH,0 ETH,0.005 ETH,0.02774 ETH,,"2,020",685
1402,VOGUE SG MYSTERY BOX,BSC,"20,363.87 BUSD","360,510.59 BUSD",2 BUSD,20 BUSD,,"40,000","7,487"
1403,Melos X David Bowie X Camels,BSC,"20,318.85 BUSD","518,093.66 BUSD",4.3 BUSD,24.99 BUSD,,"25,000","3,162"
1404,Relics Lab,Solana,183.24 SOL,0 SOL,1.1 SOL,2.545 SOL,,2,2
1405,Futures Grand Tournament,BSC,"20,225.67 BUSD","60,293.78 BUSD",31 BUSD,55.11 BUSD,,"2,424","1,320"
1406,METABOT Society,Ethereum,6.2776 ETH,10.66 ETH,0.02 ETH,0.08719 ETH,,333,182
1407,Metaversity,Ethereum,6.2739 ETH,320.13 ETH,0.01 ETH,0.06091 ETH,,"2,500",469
1408,Shibaku,Ethereum,6.2523 ETH,4.136 ETH,0.023 ETH,0.05298 ETH,,"1,034",403
1409,VOX Coodles,Ethereum,6.243 ETH,19.72 ETH,0.019 ETH,0.03878 ETH,,"1,382",870
1410,SolSnatchers,Solana,180.59 SOL,16.66 SOL,0.55 SOL,1.9212 SOL,,34,32
1401,Pixel Kitty Supercar Club,Ethereum,6.4088 ETH,0 ETH,0.005 ETH,0.02774 ETH,,"2,020",685
1402,VOGUE SG MYSTERY BOX,BSC,"20,363.87 BUSD","360,510.59 BUSD",2 BUSD,20 BUSD,,"40,000","7,487"
1403,Melos X David Bowie X Camels,BSC,"20,318.85 BUSD","518,093.66 BUSD",4.3 BUSD,24.99 BUSD,,"25,000","3,162"
1404,Relics Lab,Solana,183.24 SOL,0 SOL,1.1 SOL,2.545 SOL,,2,2
1405,Futures Grand Tournament,BSC,"20,225.67 BUSD","60,293.78 BUSD",31 BUSD,55.11 BUSD,,"2,424","1,320"
1406,METABOT Society,Ethereum,6.2776 ETH,10.66 ETH,0.02 ETH,0.08719 ETH,,333,182
1407,Metaversity,Ethereum,6.2739 ETH,320.13 ETH,0.01 ETH,0.06091 ETH,,"2,500",469
1408,Shibaku,Ethereum,6.2523 ETH,4.136 ETH,0.023 ETH,0.05298 ETH,,"1,034",403
1409,VOX Coodles,Ethereum,6.243 ETH,19.72 ETH,0.019 ETH,0.03878 ETH,,"1,382",870
1410,SolSnatchers,Solana,180.59 SOL,16.66 SOL,0.55 SOL,1.9212 SOL,,34,32
1401,Pixel Kitty Supercar Club,Ethereum,6.4088 ETH,0 ETH,0.005 ETH,0.02774 ETH,,"2,020",685
1402,VOGUE SG MYSTERY BOX,BSC,"20,363.87 BUSD","360,510.59 BUSD",2 BUSD,20 BUSD,,"40,000","7,487"
1403,Melos X David Bowie X Camels,BSC,"20,318.85 BUSD","518,093.66 BUSD",4.3 BUSD,24.99 BUSD,,"25,000","3,162"
1404,Relics Lab,Solana,183.24 SOL,0 SOL,1.1 SOL,2.545 SOL,,2,2
1405,Futures Grand Tournament,BSC,"20,225.67 BUSD","60,293.78 BUSD",31 BUSD,55.11 BUSD,,"2,424","1,320"
1406,METABOT Society,Ethereum,6.2776 ETH,10.66 ETH,0.02 ETH,0.08719 ETH,,333,182
1407,Metaversity,Ethereum,6.2739 ETH,320.13 ETH,0.01 ETH,0.06091 ETH,,"2,500",469
1408,Shibaku,Ethereum,6.2523 ETH,4.136 ETH,0.023 ETH,0.05298 ETH,,"1,034",403
1409,VOX Coodles,Ethereum,6.243 ETH,19.72 ETH,0.019 ETH,0.03878 ETH,,"1,382",870
1410,SolSnatchers,Solana,180.59 SOL,16.66 SOL,0.55 SOL,1.9212 SOL,,34,32
1501,Baby Panda,Solana,25.23 SOL,0 SOL,0.33 SOL,0.9344 SOL,,14,14
1502,InvokersNFT,Solana,55.9 SOL,0 SOL,2.5 SOL,1.7469 SOL,,2,2
1503,Ubik NFT,Solana,"1,086.9 SOL",0 SOL,--,5.1757 SOL,,0,0
1504,Bōkun Geckos,Solana,55.46 SOL,0 SOL,7 SOL,0.2046 SOL,,3,2
1505,Fluxers OG,Solana,370.9 SOL,0 SOL,5.5 SOL,4.8803 SOL,,9,8
1506,Simple People NFT,Solana,25.8 SOL,0 SOL,0.6 SOL,3.225 SOL,,4,2
1507,The First Series,Solana,33 SOL,0 SOL,--,2.75 SOL,,0,0
1508,Dronies,Solana,976.29 SOL,0 SOL,4 SOL,5.8813 SOL,,37,30
1509,Storybook Sights,Solana,32 SOL,0 SOL,1 SOL,1 SOL,,32,5
1510,INNERGY BLOBS,Solana,23 SOL,0 SOL,1 SOL,1.0952 SOL,,27,4
1501,Sol Kitties,Solana,122.99 SOL,0 SOL,1.1 SOL,1.0249 SOL,,15,13
1502,CryptoBills,Solana,121.72 SOL,0 SOL,0.5 SOL,1.2548 SOL,,26,11
1503,KHL Mystery Box,BSC,"13,421.68 BUSD","73,663.22 BUSD",2.39 BUSD,10.35 BUSD,,"20,000","3,285"
1504,NEONPUNK,Ethereum,4.18 ETH,48.3 ETH,0.25 ETH,0.2612 ETH,,300,110
1505,CryptoNFTits,Ethereum,4.1578 ETH,0 ETH,0.004 ETH,0.03465 ETH,,"1,326",464
1506,PandaBugz,Ethereum,4.1573 ETH,0 ETH,--,0.03745 ETH,,845,333
1507,The Moose Society,Ethereum,4.132 ETH,69.73 ETH,0.017 ETH,0.01853 ETH,,"3,561",910
1508,The Cryptid Collective,Ethereum,4.1313 ETH,0 ETH,0.04 ETH,0.04749 ETH,,912,344
1509,Attack Tigers,Solana,119.1 SOL,0 SOL,2.2 SOL,1.7014 SOL,,2,2
1510,ApolloX Rockets 2021,BSC,"13,193.75 BUSD",--,345 BUSD,338.3 BUSD,,"2,730",16
1501,Sol Kitties,Solana,122.99 SOL,0 SOL,1.1 SOL,1.0249 SOL,,15,13
1502,CryptoBills,Solana,121.72 SOL,0 SOL,0.5 SOL,1.2548 SOL,,26,11
1503,KHL Mystery Box,BSC,"13,421.68 BUSD","73,663.22 BUSD",2.39 BUSD,10.35 BUSD,,"20,000","3,285"
1504,NEONPUNK,Ethereum,4.18 ETH,48.3 ETH,0.25 ETH,0.2612 ETH,,300,110
1505,CryptoNFTits,Ethereum,4.1578 ETH,0 ETH,0.004 ETH,0.03465 ETH,,"1,326",464
1506,PandaBugz,Ethereum,4.1573 ETH,0 ETH,--,0.03745 ETH,,845,333
1507,The Moose Society,Ethereum,4.132 ETH,69.73 ETH,0.017 ETH,0.01853 ETH,,"3,561",910
1508,The Cryptid Collective,Ethereum,4.1313 ETH,0 ETH,0.04 ETH,0.04749 ETH,,912,344
1509,Attack Tigers,Solana,119.1 SOL,0 SOL,2.2 SOL,1.7014 SOL,,2,2
1510,ApolloX Rockets 2021,BSC,"13,193.75 BUSD",--,345 BUSD,338.3 BUSD,,"2,730",16
1501,Sol Kitties,Solana,122.99 SOL,0 SOL,1.1 SOL,1.0249 SOL,,15,13
1502,CryptoBills,Solana,121.72 SOL,0 SOL,0.5 SOL,1.2548 SOL,,26,11
1503,KHL Mystery Box,BSC,"13,421.68 BUSD","73,663.22 BUSD",2.39 BUSD,10.35 BUSD,,"20,000","3,285"
1504,NEONPUNK,Ethereum,4.18 ETH,48.3 ETH,0.25 ETH,0.2612 ETH,,300,110
1505,CryptoNFTits,Ethereum,4.1578 ETH,0 ETH,0.004 ETH,0.03465 ETH,,"1,326",464
1506,PandaBugz,Ethereum,4.1573 ETH,0 ETH,--,0.03745 ETH,,845,333
1507,The Moose Society,Ethereum,4.132 ETH,69.73 ETH,0.017 ETH,0.01853 ETH,,"3,561",910
1508,The Cryptid Collective,Ethereum,4.1313 ETH,0 ETH,0.04 ETH,0.04749 ETH,,912,344
1509,Attack Tigers,Solana,119.1 SOL,0 SOL,2.2 SOL,1.7014 SOL,,2,2
1510,ApolloX Rockets 2021,BSC,"13,193.75 BUSD",--,345 BUSD,338.3 BUSD,,"2,730",16
1501,Sol Kitties,Solana,122.99 SOL,0 SOL,1.1 SOL,1.0249 SOL,,15,13
1502,CryptoBills,Solana,121.72 SOL,0 SOL,0.5 SOL,1.2548 SOL,,26,11
1503,KHL Mystery Box,BSC,"13,421.68 BUSD","73,663.22 BUSD",2.39 BUSD,10.35 BUSD,,"20,000","3,285"
1504,NEONPUNK,Ethereum,4.18 ETH,48.3 ETH,0.25 ETH,0.2612 ETH,,300,110
1505,CryptoNFTits,Ethereum,4.1578 ETH,0 ETH,0.004 ETH,0.03465 ETH,,"1,326",464
1506,PandaBugz,Ethereum,4.1573 ETH,0 ETH,--,0.03745 ETH,,845,333
1507,The Moose Society,Ethereum,4.132 ETH,69.73 ETH,0.017 ETH,0.01853 ETH,,"3,561",910
1508,The Cryptid Collective,Ethereum,4.1313 ETH,0 ETH,0.04 ETH,0.04749 ETH,,912,344
1509,Attack Tigers,Solana,119.1 SOL,0 SOL,2.2 SOL,1.7014 SOL,,2,2
1510,ApolloX Rockets 2021,BSC,"13,193.75 BUSD",--,345 BUSD,338.3 BUSD,,"2,730",16
1501,Sol Kitties,Solana,122.99 SOL,0 SOL,1.1 SOL,1.0249 SOL,,15,13
1502,CryptoBills,Solana,121.72 SOL,0 SOL,0.5 SOL,1.2548 SOL,,26,11
1503,KHL Mystery Box,BSC,"13,421.68 BUSD","73,663.22 BUSD",2.39 BUSD,10.35 BUSD,,"20,000","3,285"
1504,NEONPUNK,Ethereum,4.18 ETH,48.3 ETH,0.25 ETH,0.2612 ETH,,300,110
1505,CryptoNFTits,Ethereum,4.1578 ETH,0 ETH,0.004 ETH,0.03465 ETH,,"1,326",464
1506,PandaBugz,Ethereum,4.1573 ETH,0 ETH,--,0.03745 ETH,,845,333
1507,The Moose Society,Ethereum,4.132 ETH,69.73 ETH,0.017 ETH,0.01853 ETH,,"3,561",910
1508,The Cryptid Collective,Ethereum,4.1313 ETH,0 ETH,0.04 ETH,0.04749 ETH,,912,344
1509,Attack Tigers,Solana,119.1 SOL,0 SOL,2.2 SOL,1.7014 SOL,,2,2
1510,ApolloX Rockets 2021,BSC,"13,193.75 BUSD",--,345 BUSD,338.3 BUSD,,"2,730",16
1501,Sol Kitties,Solana,122.99 SOL,0 SOL,1.1 SOL,1.0249 SOL,,15,13
1502,CryptoBills,Solana,121.72 SOL,0 SOL,0.5 SOL,1.2548 SOL,,26,11
1503,KHL Mystery Box,BSC,"13,421.68 BUSD","73,663.22 BUSD",2.39 BUSD,10.35 BUSD,,"20,000","3,285"
1504,NEONPUNK,Ethereum,4.18 ETH,48.3 ETH,0.25 ETH,0.2612 ETH,,300,110
1505,CryptoNFTits,Ethereum,4.1578 ETH,0 ETH,0.004 ETH,0.03465 ETH,,"1,326",464
1506,PandaBugz,Ethereum,4.1573 ETH,0 ETH,--,0.03745 ETH,,845,333
1507,The Moose Society,Ethereum,4.132 ETH,69.73 ETH,0.017 ETH,0.01853 ETH,,"3,561",910
1508,The Cryptid Collective,Ethereum,4.1313 ETH,0 ETH,0.04 ETH,0.04749 ETH,,912,344
1509,Attack Tigers,Solana,119.1 SOL,0 SOL,2.2 SOL,1.7014 SOL,,2,2
1510,ApolloX Rockets 2021,BSC,"13,193.75 BUSD",--,345 BUSD,338.3 BUSD,,"2,730",16
1601,CryptoBots,Ethereum,"1,437.4 ETH","1,872 ETH",0.08 ETH,0.1513 ETH,,"9,984","2,251"
1602,Stellar Senses,Ethereum,110.78 ETH,0 ETH,0.028 ETH,0.1689 ETH,,999,631
1603,The Beginning,Solana,27.6 SOL,0 SOL,4.7 SOL,4.6 SOL,,1,1
1604,SPACE KITTIES vol.2,Solana,24.2 SOL,0 SOL,0.9 SOL,0.8643 SOL,,14,8
